Timestamp,What is your 4 digit code? ,Gender,Look at your biodot - what color/emotion are you closest to right now? ,Does this fit with the way that you feel? ,What activity have you just been doing? 
11/7/2024 14:12:55,B,Female,Violet 89.6 - Relaxed,A little ,Scrolling on my phone
11/7/2024 15:39:38,B,Female,Green 83.6 - Tense,No,Cleaning up
11/7/2024 14:35:43,B,Female,Violet 89.6 - Relaxed,Yes,Talking to Friends
11/8/2024 10:26:54,D,Female,Black 79 - Stressed,No,"Physical Activity - walking, running, playing a sport"
11/7/2024 14:35:44,D,Female,Black 79 - Stressed,No,Sitting in a relaxation room
11/8/2024 10:26:19,D,Female,Black 79 - Stressed,No,Talking to Friends
11/8/2024 10:26:39,D,Female,Black 79 - Stressed,Yes,Eating
11/7/2024 14:11:35,D,Female,Black 79 - Stressed,Yes,Sitting in class
11/7/2024 18:05:51,E,Female,Black 79 - Stressed,Maybe,"Physical Activity - walking, running, playing a sport"
11/7/2024 15:58:14,E,Female,Violet 89.6 - Relaxed,Yes,Sitting in a relaxation room
11/7/2024 14:11:36,E,Female,Black 79 - Stressed,Yes,Sitting in class
11/7/2024 14:25:44,E,Female,Black 79 - Stressed,Yes,Taking a test
11/7/2024 16:47:57,F,Female,Black 79 - Stressed,Yes,Cleaning up
11/7/2024 14:36:06,F,Female,Violet 89.6 - Relaxed,Yes,Sitting in a relaxation room
11/7/2024 14:12:33,F,Female,Blue 87.6 - Calm,Yes,Sitting in class
11/7/2024 14:11:35,G,Female,Blue 87.6 - Calm,No,Sitting in class
11/7/2024 15:40:15,G,Female,Black 79 - Stressed,No,"Physical Activity - walking, running, playing a sport"
11/7/2024 17:36:58,G,Female,Turquoise 85.6 - Alert,No,Talking to Friends
11/7/2024 14:37:06,G,Female,Black 79 - Stressed,Yes,Scrolling on my phone
11/8/2024 9:02:03,I,Female,Yellow 80.6 - Anxious,Maybe,Eating
11/8/2024 9:02:42,I,Female,Green 83.6 - Tense,Maybe,Talking to Friends
11/8/2024 9:01:34,I,Female,Green 83.6 - Tense,Yes,Sleep+Abt to Sleep
11/7/2024 14:25:54,I,Female,Black 79 - Stressed,Yes,Taking a test
11/7/2024 15:31:39,J,Female,Green 83.6 - Tense,Maybe,Eating
11/7/2024 14:12:38,J,Female,Black 79 - Stressed,Maybe,Sitting in class
11/7/2024 22:31:30,J,Female,Amber 79.6 - Very Tense,Yes,"Physical Activity - walking, running, playing a sport"
11/7/2024 14:37:45,J,Female,Blue 87.6 - Calm,Yes,Scrolling on my phone
11/7/2024 22:32:04,J,Female,Blue 87.6 - Calm,Yes,Scrolling on my phone
11/7/2024 14:12:54,K,Female,Black 79 - Stressed,IDK ,Talking to Friends
11/7/2024 17:00:13,K,Female,Black 79 - Stressed,Maybe,Career Fair
11/7/2024 14:28:37,K,Female,Black 79 - Stressed,Maybe,Taking a test
11/7/2024 16:09:17,K,Female,Green 83.6 - Tense,Yes,Driving
11/7/2024 15:14:12,K,Female,Blue 87.6 - Calm,Yes,Scrolling on my phone
11/7/2024 14:36:10,M,Female,Violet 89.6 - Relaxed,Yes,Sitting in a relaxation room
11/7/2024 14:12:19,M,Female,Black 79 - Stressed,Yes,Career Fair
11/7/2024 14:12:09,N,Female,Black 79 - Stressed,No,Sitting in class
11/7/2024 22:43:51,N,Female,Blue 87.6 - Calm,Yes,Eating
11/7/2024 23:32:09,N,Female,Blue 87.6 - Calm,Yes,Sleep+Abt to Sleep
11/7/2024 15:07:24,N,Female,Blue 87.6 - Calm,Yes,Talking to Friends
11/7/2024 14:28:08,N,Female,Black 79 - Stressed,Yes,Taking a test
11/7/2024 14:11:57,O,Female,Black 79 - Stressed,Maybe,Sitting in class
11/7/2024 14:25:44,O,Female,Black 79 - Stressed,Maybe,Taking a test
11/7/2024 14:11:58,P,Female,Black 79 - Stressed,Yes,Assignments
11/7/2024 14:26:40,P,Female,Black 79 - Stressed,Yes,Taking a test
11/7/2024 20:03:16,Q,Female,Black 79 - Stressed,Maybe,Assignments
11/7/2024 15:39:02,Q,Female,Black 79 - Stressed,No,Eating
11/7/2024 19:46:42,Q,Female,Black 79 - Stressed,No,Sleep+Abt to Sleep
11/7/2024 14:12:29,Q,Female,Black 79 - Stressed,Yes,Career Fair
11/7/2024 18:13:28,Q,Female,Black 79 - Stressed,Yes,Assignments
11/7/2024 14:25:41,Q,Female,Black 79 - Stressed,Yes,Taking a test
11/7/2024 14:12:04,S,Female,Black 79 - Stressed,No,Sitting in class
11/7/2024 14:25:39,S,Female,Black 79 - Stressed,Yes,Taking a test
11/7/2024 14:14:06,A,Male,Black 79 - Stressed,No,Scrolling on my phone
11/7/2024 14:36:45,A,Male,Black 79 - Stressed,No,Sitting in a relaxation room
11/7/2024 23:54:12,A,Male,Blue 87.6 - Calm,Yes,Driving
11/7/2024 23:54:40,A,Male,Violet 89.6 - Relaxed,Yes,Eating
11/7/2024 23:55:10,A,Male,Green 83.6 - Tense,Yes,Scrolling on my phone
11/7/2024 14:25:16,C,Male,Black 79 - Stressed,Maybe,Taking a test
11/7/2024 14:13:19,C,Male,Black 79 - Stressed,No,Assignments
11/7/2024 15:44:00,C,Male,Violet 89.6 - Relaxed,Yes,Assignments
11/7/2024 14:27:29,H,Male,Black 79 - Stressed,No,Taking a test
